iter	Passed	Remaining
0	26	26572
1	53	26759
2	83	27660
3	113	28212
4	142	28388
5	170	28251
6	199	28304
7	227	28225
8	258	28461
9	287	28488
10	315	28374
11	350	28859
12	384	29178
13	416	29337
14	450	29566
15	482	29696
16	513	29708
17	544	29726
18	576	29778
19	607	29759
20	638	29772
21	669	29773
22	708	30084
23	739	30066
24	771	30072
25	808	30283
26	841	30321
27	875	30379
28	906	30364
29	941	30449
30	973	30436
31	1003	30348
32	1037	30399
33	1066	30308
34	1096	30238
35	1125	30134
36	1155	30065
37	1185	30003
38	1213	29897
39	1242	29826
40	1271	29740
41	1298	29611
42	1330	29617
43	1360	29560
44	1392	29545
45	1426	29592
46	1457	29549
47	1487	29502
48	1517	29449
49	1546	29386
50	1576	29332
51	1606	29280
52	1633	29186
53	1663	29134
54	1692	29083
55	1722	29035
56	1751	28980
57	1781	28933
58	1814	28936
59	1849	28981
60	1885	29023
61	1910	28902
62	1937	28812
63	1965	28738
64	1993	28675
65	2019	28583
66	2047	28505
67	2076	28456
68	2102	28368
69	2131	28313
70	2161	28275
71	2190	28233
72	2217	28156
73	2246	28109
74	2274	28052
75	2304	28016
76	2339	28037
77	2367	27980
78	2394	27914
79	2426	27903
80	2455	27863
81	2481	27780
82	2507	27708
83	2538	27678
84	2566	27631
85	2594	27571
86	2622	27520
87	2649	27463
88	2681	27444
89	2710	27404
90	2739	27366
91	2769	27334
92	2796	27270
93	2828	27266
94	2861	27258
95	2890	27223
96	2916	27150
97	2944	27103
98	2974	27069
99	3002	27022
100	3030	26977
101	3059	26939
102	3087	26884
103	3114	26829
104	3142	26788
105	3171	26751
106	3197	26684
107	3226	26645
108	3255	26613
109	3284	26570
110	3312	26532
111	3341	26496
112	3371	26464
113	3398	26412
114	3425	26358
115	3452	26310
116	3479	26260
117	3506	26210
118	3536	26181
119	3563	26135
120	3590	26085
121	3613	26008
122	3640	25957
123	3669	25925
124	3696	25875
125	3721	25816
126	3751	25785
127	3780	25755
128	3806	25698
129	3832	25645
130	3856	25583
131	3886	25555
132	3913	25510
133	3937	25448
134	3965	25410
135	3993	25368
136	4017	25309
137	4046	25276
138	4073	25231
139	4101	25195
140	4129	25158
141	4160	25138
142	4187	25095
143	4213	25046
144	4238	24995
145	4267	24960
146	4297	24939
147	4327	24914
148	4356	24881
149	4382	24835
150	4409	24794
151	4435	24747
152	4473	24766
153	4515	24808
154	4561	24865
155	4599	24883
156	4632	24872
157	4659	24830
158	4695	24835
159	4734	24857
160	4774	24881
161	4809	24877
162	4843	24868
163	4876	24857
164	4907	24834
165	4945	24845
166	4980	24840
167	5008	24805
168	5046	24816
169	5076	24785
170	5110	24774
171	5139	24741
172	5177	24751
173	5216	24764
174	5264	24816
175	5310	24860
176	5360	24923
177	5405	24962
178	5525	25343
179	5583	25434
180	5623	25443
181	5659	25436
182	5702	25460
183	5749	25497
184	5790	25510
185	5830	25517
186	5875	25545
187	5907	25516
188	5942	25500
189	5978	25485
190	6013	25468
191	6054	25481
192	6095	25486
193	6127	25457
194	6154	25406
195	6180	25350
196	6204	25289
197	6229	25234
